,id,frequency
0,658,111
1,99,9
2,5389,10
3,5121,28
4,3512,53
5,7831,1
6,7844,1
7,7915,1
8,2026,671
9,3445,241
10,648,21
11,5381,8
12,5935,17
13,2529,31
14,1960,51
15,3593,17
16,3590,10
17,630,9
18,4340,1
19,623,30
20,3421,2
21,3535,2
22,5049,2
23,1398,9
24,5058,6
25,5087,140
26,5085,21
27,7676,2
28,1503,12
29,1856,13
30,319,6
31,960,43
32,7850,2
33,5875,3
34,382,21
35,7786,4
36,5092,69
37,2814,27
38,6331,42
39,839,6
40,200,17
41,7555,3
42,6637,4
43,5272,4
44,19142,1
45,1370,5
46,3352,105
47,634,27
48,6298,13
49,6708,13
50,3250,20
51,3153,1
52,5446,1
53,5239,5
54,6426,4
55,1218,21
56,5980,8
57,5383,17
58,3270,10
59,7224,17
60,5447,3
61,5412,12
62,902,6
63,6163,74
64,995,5
65,5798,3
66,3243,3
67,171,9
68,19153,1
69,3429,1
70,71,2
71,3430,1
72,8143,6
73,5081,2
74,9153,1
75,2561,14
76,6334,7
77,1880,5
78,1473,18
79,1031,14
80,2604,47
81,9501,1
82,611,4
83,6632,9
84,3533,2
85,7542,2
86,2169,24
87,656,12
88,5029,5
89,5242,20
90,1530,18
91,3260,41
92,5243,47
93,3256,17
94,673,7
95,1462,22
96,4781,2
97,5395,5
98,1178,3
99,6324,25
100,10088,3
101,2999,5
102,669,14
103,1460,2
104,1526,9
105,8032,1
106,661,6
107,709,9
108,3490,1
109,19194,1
110,19195,1
111,6329,2
112,9433,1
113,8424,1
114,5803,1
115,2986,10
116,3506,6
117,3492,2
118,8016,3
119,10095,1
120,19196,1
121,19197,1
122,19198,1
123,9479,2
124,2849,16
125,164,7
126,10065,1
127,9111,1
128,257,4
129,1905,10
130,10068,1
131,6346,2
132,746,1
133,1345,2
134,6307,1
135,10069,1
136,9115,1
137,19211,1
138,711,10
139,2549,4
140,2095,22
141,6765,6
142,10471,1
143,10470,1
144,7801,1
145,7837,1
146,10472,1
147,10716,1
148,5706,12
149,10715,1
150,7373,1
151,10717,1
152,10712,1
153,10711,1
154,10714,1
155,10713,1
156,7007,1
157,842,6
158,10707,1
159,10708,1
160,10727,1
161,10726,1
162,10725,5
163,10724,1
164,959,7
165,1463,3
166,6035,4
167,4560,6
168,3262,13
169,3357,1
170,3305,11
171,6336,1
172,6712,2
173,322,6
174,5878,1
175,2531,2
176,2656,1
177,2903,10
178,1199,1
179,5781,2
180,5244,31
181,10532,1
182,4371,8
183,5690,9
184,5915,1
185,6160,22
186,7918,2
187,4559,16
188,5027,1
189,19245,1
190,2305,45
191,3319,4
192,14542,1
193,5193,9
194,9059,1
195,11253,1
196,1528,6
197,5882,2
198,1087,13
199,6642,3
200,8123,9
201,7700,5
202,8080,2
203,453,1
204,649,4
205,7535,2
206,5468,3
207,1534,2
208,6304,2
209,4490,1
210,7877,1
211,10144,1
212,679,1
213,670,2
214,638,3
215,653,1
216,6850,4
217,9176,1
218,7878,2
219,7427,7
220,1643,1
221,1315,8
222,19318,1
223,11377,2
224,1312,2
225,1452,7
226,457,3
227,6626,18
228,2873,3
229,11857,2
230,5712,7
231,10152,4
232,2890,10
233,5941,8
234,851,5
235,2846,2
236,5134,6
237,91,6
238,49,17
239,1814,1
240,1813,1
241,11700,1
242,9574,1
243,11749,1
244,6640,2
245,5079,1
246,8680,1
247,7557,2
248,11748,1
249,275,1
250,19342,1
251,19343,1
252,8430,1
253,3551,4
254,2901,1
255,11468,1
256,3652,2
257,5220,1
258,3592,1
259,11465,1
260,5146,5
261,1645,2
262,10126,1
263,2325,1
264,11470,3
265,3368,2
266,2180,1
267,3868,3
268,1454,2
269,6129,5
270,12228,1
271,8014,1
272,12211,1
273,12198,1
274,8908,1
275,12186,1
276,12201,1
277,6427,1
278,9327,3
279,12240,1
280,19354,1
281,19355,1
282,19356,1
283,19357,1
284,19358,1
285,19359,1
286,19360,1
287,19361,1
288,19362,1
289,7186,6
290,756,20
291,447,2
292,162,1
293,19374,1
294,3118,1
295,5801,5
296,6741,6
297,6197,1
298,12263,1
299,7793,1
300,1465,3
301,19381,1
302,10307,1
303,5397,4
304,772,2
305,5990,3
306,155,3
307,8775,2
308,8782,1
309,1443,1
310,12473,1
311,441,3
312,12471,1
313,236,2
314,5953,7
315,5246,17
316,122,1
317,2324,4
318,1374,4
319,609,1
320,12277,1
321,12274,1
322,3115,1
323,12276,1
324,6187,3
325,5026,1
326,19392,1
327,19393,1
328,19394,1
329,19395,1
330,12661,1
331,6357,2
332,5401,3
333,1055,4
334,2859,1
335,6784,3
336,12854,1
337,9350,4
338,12853,1
339,12852,1
340,5481,1
341,12858,2
342,12857,1
343,769,1
344,1487,2
345,12865,1
346,12861,1
347,12860,1
348,3268,6
349,12855,1
350,5710,1
351,12866,5
352,12864,1
353,12859,1
354,19406,1
355,683,4
356,7116,3
357,799,3
358,6313,8
359,698,4
360,3525,1
361,3359,1
362,10264,1
363,706,1
364,15396,7
365,5074,1
366,12664,1
367,12871,1
368,1030,1
369,930,1
370,6177,2
371,3515,2
372,8026,1
373,1481,8
374,414,28
375,19422,1
376,5917,6
377,5955,2
378,11943,1
379,7854,2
380,682,2
381,3045,9
382,6116,10
383,1311,2
384,5340,3
385,229,3
386,2140,2
387,169,1
388,10773,1
389,7970,2
390,33,2
391,50,2
392,9131,3
393,4196,1
394,8119,1
395,107,4
396,8156,8
397,19431,1
398,6099,1
399,2043,1
400,3348,1
401,3296,6
402,5928,1
403,8982,5
404,5249,1
405,1028,3
406,5158,11
407,849,2
408,11755,4
409,5269,2
410,98,23
411,13484,2
412,8996,2
413,9545,1
414,3258,1
415,3651,1
416,11234,5
417,12731,1
418,3498,1
419,86,2
420,13530,3
421,13359,1
422,19442,1
423,1284,8
424,9077,2
425,7248,1
426,6162,5
427,13536,1
428,13316,1
429,19446,1
430,8461,1
431,7691,4
432,7671,1
433,13458,1
434,231,15
435,6717,2
436,6052,4
437,13376,4
438,2137,6
439,674,5
440,972,2
441,4478,1
442,5708,3
443,13378,1
444,11925,1
445,11716,1
446,11918,3
447,3654,4
448,1352,7
449,13664,1
450,2722,1
451,1522,3
452,9511,2
453,12609,1
454,4532,1
455,13744,1
456,6118,2
457,705,4
458,13759,1
459,10542,1
460,3572,4
461,13705,3
462,19471,1
463,2943,6
464,5044,3
465,1513,1
466,6302,4
467,13702,1
468,2891,1
469,2149,1
470,13105,1
471,3044,2
472,12924,1
473,2280,2
474,2571,1
475,6719,1
476,1517,2
477,8538,1
478,12548,1
479,6084,3
480,6043,4
481,2569,3
482,13780,1
483,6340,1
484,13858,1
485,2886,2
486,9688,1
487,1029,1
488,13787,1
489,2559,2
490,2552,6
491,1527,2
492,7273,1
493,331,3
494,5208,1
495,9029,2
496,2084,4
497,3281,3
498,2096,5
499,9181,2
500,4531,4
501,3341,11
