,id,frequency
0,65627,8
1,2477,4
2,19204,3
3,64068,13
4,26828,16
5,26836,14
6,26837,16
7,26838,11
8,30539,16
9,26840,13
10,30537,20
11,44016,8
12,44301,12
13,64042,22
14,64013,8
15,56845,32
16,56851,9
17,62775,4
18,62851,9
19,62947,15
20,62961,5
21,63097,2
22,63241,11
23,63260,7
24,63272,91
25,63343,19
26,63356,13
27,63357,11
28,63458,4
29,63612,2
30,63644,7
31,63650,15
32,63651,11
33,63657,16
34,63668,6
35,63672,4
36,63673,17
37,63687,25
38,63689,11
39,63763,4
40,3313,1
41,19042,2
42,4215,20
43,3495,18
44,19216,12
45,63819,7
46,19100,7
47,63685,22
48,3507,7
49,34373,6
50,34496,3
51,62978,5
52,64522,2
53,34567,18
54,34418,4
55,19080,60
56,67874,26
57,26833,24
58,26839,4
59,26829,7
60,22812,2
61,34458,1
62,34757,4
63,62852,1
64,56588,23
65,56395,5
66,56548,2
67,56652,7
68,62969,11
69,62944,14
70,64028,1
71,62758,4
72,62850,6
73,62933,6
74,63513,8
75,63911,18
76,56590,34
77,34362,6
78,52386,7
79,63174,2
80,3607,2
81,56853,19
82,3370,36
83,64098,4
84,65017,1
85,63074,5
86,63143,5
87,64046,5
88,44260,17
89,63179,10
90,63202,4
91,40132,2
92,64010,8
93,56835,19
94,64035,9
95,3615,16
96,3493,34
97,63235,31
98,63281,2
99,3492,35
100,63109,4
101,63185,9
102,26856,4
103,19085,12
104,3097,11
105,63602,16
106,19143,4
107,8636,10
108,3697,6
109,63790,10
110,2630,16
111,26670,11
112,63671,7
113,4238,15
114,2636,6
115,2637,14
116,19104,18
117,62950,17
118,30499,2
119,15340,38
120,4229,12
121,64018,12
122,63753,28
123,19067,31
124,19050,11
125,19059,20
126,19060,85
127,19063,33
128,19071,1
129,19068,115
130,19061,23
131,19090,3
132,19066,47
133,34701,13
134,19045,6
135,19051,7
136,26750,14
137,63832,5
138,63646,69
139,26834,23
140,34417,1
141,2619,13
142,34508,13
143,2769,2
144,63859,4
145,2653,5
146,2654,3
147,26757,4
148,8686,17
149,63610,10
150,64126,5
151,64023,17
152,4244,1
153,63953,3
154,63622,1
155,62962,17
156,63639,1
157,63861,5
158,2786,20
159,26766,3
160,64029,119
161,26780,26
162,22867,15
163,34491,13
164,63876,28
165,2648,8
166,63698,3
167,63358,3
168,19103,12
169,34720,10
