,id,frequency
0,"(2681, 65627)",5
1,"(984, 2477)",2
2,"(3474, 19204)",1
3,"(2681, 64068)",7
4,"(5301, 64068)",3
5,"(2681, 26828)",15
6,"(2681, 26836)",6
7,"(5301, 26836)",2
8,"(6140, 26836)",1
9,"(1045, 26837)",1
10,"(1939, 26837)",1
11,"(2711, 26837)",1
12,"(3474, 26837)",3
13,"(2681, 26837)",5
14,"(908, 26838)",1
15,"(1306, 26838)",1
16,"(3474, 26838)",2
17,"(3474, 30539)",1
18,"(5301, 26838)",1
19,"(984, 26840)",6
20,"(1122, 26840)",1
21,"(2681, 26840)",2
22,"(4827, 26840)",1
23,"(7125, 26840)",1
24,"(2668, 30537)",1
25,"(6519, 44016)",1
26,"(2681, 44301)",4
27,"(1749, 64042)",1
28,"(2681, 64042)",13
29,"(3474, 64013)",2
30,"(2681, 56845)",12
31,"(984, 56845)",2
32,"(6725, 56845)",1
33,"(928, 56851)",1
34,"(5613, 56845)",2
35,"(378, 62775)",1
36,"(984, 62775)",1
37,"(2681, 62851)",4
38,"(2681, 62947)",12
39,"(984, 62961)",2
40,"(2681, 62961)",3
41,"(658, 63097)",1
42,"(4298, 63241)",1
43,"(3474, 63260)",3
44,"(399, 63272)",3
45,"(1045, 63272)",1
46,"(1927, 63272)",1
47,"(1928, 63272)",1
48,"(1939, 63272)",1
49,"(2401, 63272)",1
50,"(3101, 63272)",1
51,"(3627, 63272)",1
52,"(3645, 63272)",1
53,"(4460, 63272)",2
54,"(4766, 63272)",1
55,"(5613, 63272)",1
56,"(175, 63343)",1
57,"(2681, 63343)",11
58,"(984, 63356)",1
59,"(1153, 63356)",1
60,"(5301, 63357)",3
61,"(2681, 63357)",4
62,"(2681, 63458)",3
63,"(1306, 63612)",1
64,"(984, 63644)",4
65,"(2681, 63650)",11
66,"(2681, 63651)",7
67,"(2681, 63657)",9
68,"(3474, 63668)",5
69,"(1873, 63672)",4
70,"(2681, 63673)",7
71,"(1678, 63687)",1
72,"(2640, 63687)",4
73,"(2681, 63689)",3
74,"(6519, 63763)",1
75,"(5542, 3313)",1
76,"(3239, 19042)",1
77,"(5301, 4215)",1
78,"(6170, 4215)",4
79,"(2681, 3495)",4
80,"(1994, 19216)",1
81,"(3474, 63819)",2
82,"(4889, 19100)",1
83,"(3474, 63685)",4
84,"(2681, 3507)",1
85,"(3474, 34373)",1
86,"(6170, 34373)",1
87,"(2785, 34496)",1
88,"(99, 62978)",2
89,"(99, 64522)",2
90,"(5389, 34567)",1
91,"(2681, 34418)",1
92,"(984, 19080)",3
93,"(2681, 34373)",1
94,"(7599, 67874)",1
95,"(984, 26833)",1
96,"(5301, 26839)",2
