,id,frequency
0,7125,1
1,378,1
2,4298,1
3,4329,7
4,77,309
5,211,129
6,2259,1
7,6291,1
8,1727,1
9,5026,1
10,271,1
11,4046,1
12,1315,1
13,3977,1
14,196,2
15,4863,2
16,3155,1
17,436,1
18,2025,1
19,2378,1
20,5262,1
21,1176,1
22,3701,1
23,145,2
24,4902,2
25,5789,1
26,6023,1
27,3964,1
28,7135,1
29,7138,1
30,16709,1
31,2535,1
32,1099,1
33,4332,1
34,4379,2
35,4381,1
36,5759,1
37,16710,1
38,4690,2
39,3819,3
40,4919,1
41,4920,1
42,4267,12
43,2957,5
44,2179,1
45,2626,1
46,2629,1
47,2643,1
48,2814,3
49,1601,1
50,723,1
51,6241,1
52,6243,1
53,6244,1
54,6245,1
55,6246,1
56,6249,3
57,6252,1
58,6253,1
59,186,1
60,3336,1
61,3350,1
62,3545,1
63,3936,1
64,5998,11
65,625,5
66,3052,19
67,5940,22
68,2519,2
69,3543,2
70,4057,1
71,4201,1
72,5624,1
73,3553,1
74,188,1
75,279,1
76,861,52
77,5189,1
78,5261,5
79,6789,1
80,5276,3
81,6557,8
82,5164,1
83,5165,1
84,6110,1
85,6403,1
86,1316,1
87,1548,7
88,2954,1
89,2028,1
90,6995,1
91,4271,1
92,1961,1
93,3640,1
94,7024,1
95,5648,12
96,2142,1
97,2870,2
98,7049,1
99,7398,1
100,2884,1
101,2741,2
102,6993,1
103,7492,1
104,435,1
105,7234,1
106,7339,1
107,7405,1
108,7433,1
109,7574,1
110,7645,1
111,7728,1
112,7736,1
113,3382,1
114,3656,2
115,6818,2
116,6839,1
117,215,2
118,1291,1
119,1384,1
120,1388,1
121,1647,1
122,1648,1
123,1649,1
124,1651,1
125,1993,1
126,3381,1
127,4677,1
128,4680,1
129,4682,1
130,5390,1
131,3613,1
132,2963,1
133,16738,1
134,1522,1
135,2230,1
136,2266,1
137,6478,1
138,2114,1
139,2943,1
140,6413,4
141,6,1
142,34,1
143,2468,1
144,4877,1
145,5612,1
146,363,1
147,2469,1
148,3308,1
149,3730,1
150,3956,1
151,4020,1
152,4974,1
153,5645,1
154,6947,1
155,5002,2
156,1413,1
157,586,1
158,1285,1
159,9048,1
160,3919,1
161,20,1
162,53,1
163,599,1
164,600,1
165,601,1
166,741,1
167,747,1
168,751,1
169,5033,1
170,5441,1
171,5442,1
172,6119,1
173,6796,1
174,7078,1
175,7082,1
176,2945,15
177,3812,1
178,7393,1
179,6357,3
180,552,1
181,3266,1
182,4019,1
183,6880,9
184,3168,1
185,1636,1
186,2604,1
187,2605,1
188,4060,2
189,4413,1
190,4416,1
191,4471,1
192,4556,5
193,5533,1
194,5607,1
195,5879,1
196,5884,1
197,6758,1
198,3263,1
199,2908,1
200,6996,3
201,3542,3
202,4306,4
203,4269,1
204,4671,1
205,2294,1
206,2662,2
207,16751,1
208,16752,1
209,16753,1
210,16754,1
211,16755,1
212,16756,1
213,16757,1
214,16758,1
215,16759,1
216,16760,1
217,16761,1
218,16762,1
219,3607,1
220,6522,1
221,2207,1
222,213,1
223,4126,1
224,4845,1
225,2950,1
226,4985,1
227,4699,1
228,3001,1
229,7221,1
230,1819,2
231,7140,1
232,2105,4
233,6335,1
234,7133,1
235,8050,1
236,3509,3
237,891,1
238,2625,1
239,7765,3
240,8086,1
241,7848,1
242,7974,1
243,4102,6
244,6991,5
245,7861,1
246,7862,1
247,5849,1
248,5619,19
249,8090,1
250,7759,1
251,631,1
252,691,1
253,844,2
254,2327,1
255,2782,1
256,3569,1
257,5450,4
258,8023,1
259,8024,1
260,6511,5
261,4574,11
262,7878,1
263,7935,1
264,7936,1
265,7883,1
266,7829,1
267,332,17
268,773,1
269,779,5
270,2531,1
271,3444,1
272,6747,6
273,6757,1
274,6863,9
275,6975,1
276,7766,1
277,7767,1
278,7768,1
279,7769,1
280,7770,4
281,7771,1
282,7772,1
283,7774,1
284,7775,1
285,7776,1
286,7777,1
287,7780,1
288,7781,1
289,7782,1
290,7783,1
291,7784,1
292,7785,1
293,7786,1
294,7787,1
295,7788,1
296,7789,1
297,7790,1
298,7791,1
299,7793,1
300,7794,1
301,7795,1
302,7796,1
303,7797,1
304,7798,1
305,7799,1
306,7800,1
307,7801,1
308,7802,1
309,7804,1
310,7805,1
311,7806,1
312,7807,1
313,7808,1
314,7809,1
315,7810,1
316,7811,5
317,7812,1
318,7813,3
319,7814,1
320,7815,1
321,7816,1
322,7817,1
323,7818,1
324,7819,1
325,7820,1
326,7821,1
327,7822,1
328,7823,1
329,7824,1
330,7825,1
331,7826,1
332,7827,2
333,16777,1
334,16778,1
335,16779,1
336,8083,1
337,7895,1
338,8507,1
339,2489,14
340,9207,1
341,8516,1
342,8426,1
343,8687,1
344,5274,1
345,8330,1
346,8547,1
347,8548,1
348,8680,1
349,1072,1
350,2108,2
351,4114,1
352,6834,4
353,8610,1
354,8611,1
355,8612,1
356,8614,1
357,8615,1
358,8616,1
359,8617,1
360,8618,1
361,8619,1
362,8620,1
363,8621,1
364,8622,1
365,8623,1
366,8625,1
367,8626,1
368,8627,1
369,8628,1
370,8629,1
371,8630,1
372,8631,1
373,8632,1
374,8633,1
375,8293,1
376,2964,5
377,8646,1
378,8221,1
379,9372,1
380,8542,1
381,2124,12
382,8191,1
383,8597,1
384,8598,1
385,8599,1
386,6272,6
387,7865,1
388,6490,1
389,8343,1
390,8686,1
391,136,1
