namespace	ec_number
entity_id	external_id	source
enz10316	4.1.3.36	ec_class
enz10323	4.4.1.17	ec_class
enz1167	2.3.1.147	ec_class
enz1168	2.3.1.148	ec_class
enz1169	2.3.1.149	ec_class
enz1171	2.3.1.150	ec_class
enz1172	2.3.1.151	ec_class
enz1173	2.3.1.152	ec_class
enz1174	2.3.1.153	ec_class
enz15281	1.5.1.28	ec_class
enz15301	3.1.1.20	ec_class
enz15302	3.1.1.23	ec_class
enz15303	3.1.1.24	ec_class
enz15304	3.1.1.25	ec_class
enz15305	3.1.1.26	ec_class
enz15306	3.1.1.30	ec_class
enz15307	3.1.1.32	ec_class
enz15308	3.1.1.35	ec_class
enz15309	3.1.1.36	ec_class
enz15310	3.1.1.45	ec_class
enz15311	3.1.1.5	ec_class
enz15312	3.1.1.50	ec_class
enz15313	3.1.1.53	ec_class
enz15316	3.1.1.8	ec_class
enz15317	3.1.11.4	ec_class
enz15318	3.1.2.1	ec_class
enz15321	3.1.2.4	ec_class
enz15322	3.1.22.2	ec_class
enz15323	3.1.3.1	ec_class
enz15326	3.1.3.17	ec_class
enz15327	3.1.3.19	ec_class
enz15328	3.1.3.22	ec_class
enz15329	3.1.3.23	ec_class
enz15332	3.1.3.26	ec_class
enz15333	3.1.3.27	ec_class
enz15334	3.1.3.41	ec_class
enz15335	3.1.3.42	ec_class
enz15336	3.1.3.43	ec_class
enz15338	3.1.3.46	ec_class
enz15339	3.1.3.47	ec_class
enz15340	3.1.3.48	ec_class
enz15341	3.1.3.5	ec_class
enz15342	3.1.3.6	ec_class
enz15344	3.1.4.2	ec_class
enz15345	3.1.4.38	ec_class
enz15346	3.1.6.15	ec_class
enz15347	3.1.6.7	ec_class
enz15348	3.1.7.1	ec_class
enz15349	3.1.7.3	ec_class
enz15353	3.4.11.1	ec_class
enz15354	3.4.14.2	ec_class
enz15355	3.4.17.4	ec_class
enz15356	3.4.19.1	ec_class
enz15357	3.4.19.2	ec_class
enz15358	3.4.19.3	ec_class
enz15359	3.4.21.2	ec_class
enz15360	3.4.21.21	ec_class
enz15361	3.4.21.22	ec_class
enz15362	3.4.21.25	ec_class
enz15363	3.4.21.3	ec_class
enz15364	3.4.21.34	ec_class
enz15366	3.4.21.38	ec_class
enz15367	3.4.21.4	ec_class
enz15368	3.4.21.42	ec_class
enz15369	3.4.21.45	ec_class
enz15370	3.4.21.48	ec_class
enz15371	3.4.21.49	ec_class
enz15372	3.4.21.5	ec_class
enz15373	3.4.21.7	ec_class
enz15374	3.4.21.9	ec_class
enz15375	3.4.21.97	ec_class
enz15377	3.4.22.2	ec_class
enz15378	3.4.22.3	ec_class
enz15383	3.4.23.15	ec_class
enz15384	3.4.23.2	ec_class
enz15385	3.4.24.7	ec_class
enz164	1.1.1.247	ec_class
enz165	1.1.1.248	ec_class
enz16690	3.1.1.11	ec_class
enz16691	3.1.1.7	ec_class
enz16692	3.1.3.24	ec_class
enz16693	3.1.3.25	ec_class
enz16694	3.1.3.8	ec_class
enz16695	4.1.1.1	ec_class
enz168	1.1.1.250	ec_class
enz169	1.1.1.251	ec_class
enz170	1.1.1.252	ec_class
enz172	1.1.1.254	ec_class
enz19027	1.3.1.64	ec_class
enz19030	1.8.4.8	ec_class
enz19041	3.1.1.10	ec_class
enz19042	3.1.1.13	ec_class
enz19043	3.1.1.4	ec_class
enz19044	3.1.11.1	ec_class
enz19045	3.1.11.2	ec_class
enz19046	3.1.11.3	ec_class
enz19047	3.1.11.5	ec_class
enz19048	3.1.11.6	ec_class
enz19049	3.1.13.1	ec_class
enz19050	3.1.13.2	ec_class
enz19051	3.1.13.3	ec_class
enz19052	3.1.13.4	ec_class
enz19053	3.1.14.1	ec_class
enz19054	3.1.15.1	ec_class
enz19055	3.1.16.1	ec_class
enz19056	3.1.2.6	ec_class
enz19057	3.1.21.1	ec_class
enz19058	3.1.21.2	ec_class
enz19059	3.1.21.3	ec_class
enz19060	3.1.21.4	ec_class
enz19061	3.1.21.5	ec_class
enz19062	3.1.22.1	ec_class
enz19063	3.1.21.10	ec_class
enz19064	3.1.26.1	ec_class
enz19065	3.1.26.2	ec_class
enz19066	3.1.26.3	ec_class
enz19067	3.1.26.4	ec_class
enz19068	3.1.26.5	ec_class
enz19069	3.1.26.6	ec_class
enz19070	3.1.26.7	ec_class
enz19071	3.1.26.8	ec_class
enz19072	3.1.26.9	ec_class
enz19073	4.6.1.19	ec_class
enz19074	4.6.1.22	ec_class
enz19075	4.6.1.18	ec_class
enz19076	4.6.1.21	ec_class
enz19077	3.1.27.7	ec_class
enz19078	3.1.3.10	ec_class
enz19079	3.1.3.12	ec_class
enz19080	3.1.3.16	ec_class
enz19081	3.1.3.2	ec_class
enz19082	3.1.3.36	ec_class
enz19083	3.1.3.37	ec_class
enz19084	3.1.3.39	ec_class
enz19085	3.1.3.4	ec_class
enz19086	3.1.3.44	ec_class
enz19087	3.1.3.49	ec_class
enz19088	3.1.3.51	ec_class
enz19089	3.1.3.9	ec_class
enz19090	3.1.30.1	ec_class
enz19091	3.1.30.2	ec_class
enz19092	3.1.31.1	ec_class
enz19095	3.1.4.11	ec_class
enz19096	3.1.4.12	ec_class
enz19097	3.1.4.14	ec_class
enz19098	3.1.4.16	ec_class
enz19099	3.1.4.17	ec_class
enz19100	3.1.4.3	ec_class
enz19101	3.1.4.35	ec_class
enz19103	3.1.4.37	ec_class
enz19104	3.1.4.4	ec_class
enz19105	3.1.4.40	ec_class
enz19106	3.1.4.41	ec_class
enz19107	3.1.4.45	ec_class
enz19108	3.1.5.1	ec_class
enz19109	3.1.6.1	ec_class
enz19110	3.1.6.10	ec_class
enz19111	3.1.6.12	ec_class
enz19112	3.1.6.13	ec_class
enz19113	3.1.6.14	ec_class
enz19114	3.1.6.2	ec_class
enz19115	3.1.6.3	ec_class
enz19116	3.1.6.4	ec_class
enz19117	3.1.6.6	ec_class
enz19118	3.1.6.8	ec_class
enz19119	3.1.7.2	ec_class
enz19120	3.2.1.100	ec_class
enz19121	3.2.1.101	ec_class
enz19122	3.2.1.105	ec_class
enz19123	3.2.1.109	ec_class
enz19124	3.2.1.11	ec_class
enz19129	3.2.1.15	ec_class
enz19131	3.2.1.24	ec_class
enz19132	3.2.1.25	ec_class
enz19133	3.2.1.26	ec_class
enz19134	3.2.1.28	ec_class
enz19135	3.2.1.3	ec_class
enz19136	3.2.1.32	ec_class
enz19138	3.2.1.36	ec_class
enz19139	3.2.1.37	ec_class
enz19140	3.2.1.38	ec_class
enz19141	3.2.1.39	ec_class
enz19142	3.2.1.40	ec_class
enz19143	3.2.1.41	ec_class
enz19144	3.2.1.42	ec_class
enz19145	3.2.1.43	ec_class
enz19147	3.2.1.45	ec_class
enz19149	3.2.1.48	ec_class
enz19151	3.2.1.53	ec_class
enz19152	3.2.1.54	ec_class
enz19153	3.2.1.56	ec_class
enz19154	3.2.1.57	ec_class
enz19155	3.2.1.58	ec_class
enz19156	3.2.1.59	ec_class
enz19157	3.2.1.6	ec_class
enz19158	3.2.1.60	ec_class
enz19159	3.2.1.61	ec_class
enz19160	3.2.1.63	ec_class
enz19161	3.2.1.64	ec_class
enz19162	3.2.1.65	ec_class
enz19164	3.2.1.67	ec_class
enz19165	3.2.1.68	ec_class
enz19166	3.2.1.7	ec_class
enz19167	3.2.1.74	ec_class
enz19168	3.2.1.75	ec_class
enz19169	3.2.1.81	ec_class
enz19170	3.2.1.82	ec_class
enz19171	3.2.1.84	ec_class
enz19172	3.2.1.86	ec_class
enz19173	3.2.1.87	ec_class
enz19174	3.2.1.88	ec_class
enz19175	3.2.1.89	ec_class
enz19177	3.2.1.92	ec_class
enz19178	3.2.1.93	ec_class
enz19179	3.2.1.94	ec_class
