namespace	ncbi_taxid
entity_id	external_id	source
bac100	1255681	organism
bac10000	71235	organism
bac10012	60552	organism
bac10014	314281	organism
bac10017	49319	organism
bac10037	158899	organism
bac10042	68287	organism
bac10047	28197	organism
bac10048	302406	organism
bac10049	56636	organism
bac10057	216816	organism
bac10059	39152	organism
bac10061	2285	organism
bac10062	311400	organism
bac10063	1513	organism
bac10065	893	organism
bac10068	59610	organism
bac10069	76887	organism
bac10073	57040	organism
bac10087	182774	organism
bac10088	74318	organism
bac10090	258	organism
bac10091	37329	organism
bac10095	1804	organism
bac10117	148449	organism
bac10121	269261	organism
bac10122	223786	organism
bac10124	206403	organism
bac10125	202747	organism
bac10126	39766	organism
bac10127	267990	organism
bac10129	152526	organism
bac10131	217041	organism
bac10132	291048	organism
bac10133	64160	organism
bac10134	206249	organism
bac10135	171869	organism
bac10136	223788	organism
bac10137	269253	organism
bac10139	47493	organism
bac10144	189425	organism
bac10152	68909	organism
bac10175	2317	organism
bac102	29430	organism
bac10237	311400	organism
bac10250	33877	organism
bac10251	57493	organism
bac10254	1698	organism
bac10259	40323	organism
bac10264	52584	organism
bac10268	70775	organism
bac10273	407	organism
bac1028	292	organism
bac10280	145260	organism
bac10281	1318	organism
bac1029	28095	organism
bac10297	1777	organism
bac103	40214	organism
bac1030	13373	organism
bac10300	32038	organism
bac10302	55208	organism
bac10304	29485	organism
bac10307	364901	organism
bac10308	294699	organism
bac1031	28450	organism
bac10311	2109	organism
bac10312	47878	organism
bac1032	159450	organism
bac10321	1035	organism
bac10324	47420	organism
bac10327	1582	organism
bac1033	32008	organism
bac10330	1313	organism
bac10331	204891	organism
bac10340	43657	organism
bac10346	1129	organism
bac10354	45634	organism
bac10361	106590	organism
bac10363	160791	organism
bac10365	314263	organism
bac10367	60137	organism
bac10368	61598	organism
bac10369	73141	organism
bac10370	46450	organism
bac10371	1096	organism
bac10373	34089	organism
bac10376	274537	organism
bac1038	1736	organism
bac1039	831	organism
bac104	40215	organism
bac1040	830	organism
bac10426	216778	organism
bac10437	2317	organism
bac10438	13687	organism
bac10470	181486	organism
bac10471	2209	organism
bac10472	2214	organism
bac10473	223390	organism
bac10474	459519	organism
bac10475	47958	organism
bac10477	93217	organism
bac10478	179467	organism
bac10480	427333	organism
bac10482	204773	organism
bac10484	301301	organism
bac10485	105841	organism
bac10486	39488	organism
bac105	28090	organism
bac10500	124798	organism
bac10505	395598	organism
bac10511	53972	synonym
bac10532	1569	organism
bac10538	33923	organism
bac10539	55604	organism
bac10540	28903	organism
bac10542	2118	organism
bac10543	2117	organism
bac10544	2120	organism
bac10545	48003	organism
bac10546	171279	organism
bac10547	2100	synonym
bac10548	2128	synonym
bac1055	44001	organism
bac10550	28227	organism
bac10558	68892	organism
bac1056	44000	organism
bac1058	57174	organism
bac10587	153151	organism
bac106	40216	organism
bac10615	1641	organism
bac10616	1643	organism
bac10638	59840	organism
bac10667	650	organism
bac10669	50712	organism
bac10684	67386	organism
bac10686	310575	organism
bac10687	204038	organism
bac10689	74385	organism
bac107	469	organism
bac10707	28253	organism
bac10708	207954	organism
bac10711	111143	organism
bac10712	173509	organism
bac10713	93973	organism
bac10714	190305	organism
bac10715	190310	organism
bac10716	190308	organism
bac10717	365590	organism
bac1072	1186	organism
bac10720	618	organism
bac10722	672	organism
bac10723	542	organism
bac10724	182337	organism
bac10725	338565	organism
bac10726	876	organism
bac10727	1061	organism
bac10738	1607	organism
bac10741	56193	organism
bac10764	132919	organism
bac10767	136609	organism
bac10768	184077	organism
bac10770	29543	organism
bac10772	54248	organism
bac10773	338192	organism
bac10774	351604	organism
bac10776	74969	organism
bac10787	331992	organism
bac10802	390641	organism
bac10804	221822	organism
bac10805	42444	organism
bac10807	93683	organism
bac10808	278132	organism
bac10809	60136	organism
bac10810	159346	organism
bac10811	254357	organism
bac10812	93684	organism
bac10813	28228	organism
bac10816	295419	organism
bac10818	545501	organism
bac10825	93369	organism
bac10826	314263	organism
bac10829	179636	organism
bac10830	121428	organism
bac10831	84096	organism
bac10832	89053	organism
bac10834	89051	organism
bac10835	40516	organism
bac10836	168480	organism
bac10837	83341	organism
bac10840	36823	organism
bac10841	2055	organism
bac10842	158898	organism
bac10843	85044	organism
bac10861	303	organism
bac1087	197	organism
bac10877	651	organism
bac10887	28228	organism
bac1089	194	organism
bac10895	329854	organism
bac10909	178901	organism
bac10910	65959	organism
bac10911	104100	organism
bac10926	2743	organism
bac10945	1590	organism
bac10951	1119528	organism
bac10956	67255	organism
bac10957	33903	organism
bac10958	1915	organism
bac10959	1927	organism
bac10960	37326	organism
bac10962	36821	organism
bac10963	46161	organism
bac10964	1697	organism
bac10965	43768	organism
bac10969	351052	organism
bac10970	461876	organism
bac10991	36844	organism
bac10992	36847	organism
bac11019	1102	organism
bac11020	1094	organism
bac11021	55518	organism
bac11022	49447	organism
bac11024	337779	organism
bac11068	210	organism
bac11070	152480	organism
bac11072	294936	organism
bac11073	680	organism
bac11077	364317	organism
bac11078	109262	organism
bac11079	363848	organism
bac11080	984307	organism
bac11081	150026	organism
bac11082	93222	organism
bac11083	418223	organism
bac11085	42444	organism
bac11095	373675	organism
bac11097	254406	organism
bac11098	340021	organism
bac11099	57975	organism
bac11115	1685	organism
bac11116	1686	organism
bac11152	237	organism
bac11155	79264	organism
bac11165	46679	organism
bac11186	1883	organism
bac11226	80854	organism
bac11227	283734	organism
bac11233	480520	organism
bac11234	2173	organism
bac11238	1279	organism
bac11248	106589	organism
bac11253	507752	organism
bac11269	373675	organism
bac11299	217511	organism
bac11300	245188	organism
bac11301	314255	organism
bac11307	133539	organism
bac11309	1229	organism
bac11310	1048	organism
bac11356	229980	organism
bac11357	198703	organism
bac11361	85085	organism
bac11366	1827	organism
bac11377	286	organism
bac11408	40269	organism
bac11423	248026	organism
bac11426	1280	synonym
bac11456	38289	organism
bac11458	33060	organism
bac11460	152500	organism
bac11465	1661	organism
bac11468	256618	organism
bac11470	1879	organism
bac11472	2017	organism
bac11473	29308	organism
bac11487	61435	organism
bac11491	39844	organism
bac11492	33954	organism
bac11544	33905	organism
bac11545	28026	organism
bac11546	1680	organism
bac11547	1689	organism
bac11548	1683	organism
bac11592	107709	organism
bac11599	316997	organism
bac1162	1017	organism
bac11620	93929	organism
bac11622	174	organism
bac11624	83984	organism
bac11626	86667	organism
bac11627	35742	organism
bac11628	182779	organism
bac1163	1018	organism
bac1164	1019	organism
bac11662	2269	organism
bac11664	93944	organism
bac11666	60217	organism
bac11672	170652	organism
bac11673	170679	organism
bac11674	170651	organism
bac11675	265668	organism
bac11676	171383	organism
bac11677	661	organism
bac11682	187879	organism
bac11683	277988	organism
bac11687	342948	organism
bac11697	177758	organism
bac11700	349064	organism
bac11714	110163	organism
bac11715	2264	organism
bac11716	110164	organism
bac11717	72360	organism
bac11737	22	organism
bac11748	86304	organism
bac11749	252514	organism
bac11751	53246	organism
bac11755	1971	organism
bac11763	666	organism
bac11768	160233	organism
bac11769	471511	organism
bac11770	518643	organism
bac1178	129958	organism
bac11784	424218	organism
bac11794	661	organism
bac11800	158327	organism
bac11802	427918	organism
bac11811	1201031	organism
bac11855	1703	organism
bac11857	357794	organism
bac11863	79885	organism
bac11866	1134687	organism
bac11873	2209	organism
bac11874	69499	organism
bac11876	496866	organism
bac11877	375929	organism
bac11878	46541	organism
bac11879	52	organism
bac11891	2377	organism
bac11892	2378	organism
bac11893	901	organism
bac11895	2382	organism
bac11897	36849	organism
bac11898	52690	organism
bac11915	358766	organism
bac11916	475088	organism
bac11918	2247	organism
bac11919	39152	organism
bac1192	2748	organism
bac11920	39152	organism
bac11921	39152	organism
bac11922	39152	organism
bac11923	35818	organism
bac11924	2198	organism
bac11925	2224	organism
bac11927	121277	organism
bac1193	2751	organism
bac11933	1313	organism
bac1194	2747	organism
bac11940	168697	organism
bac11943	870	organism
bac11957	38300	organism
bac1199	33977	organism
bac11990	28152	organism
bac12009	652	organism
bac12010	47229	organism
bac1205	53367	organism
bac12063	1363	organism
bac12076	106355	organism
bac12078	225327	organism
bac12081	29580	organism
bac12082	200618	organism
bac12084	288022	organism
bac12091	299462	organism
bac12099	364098	organism
bac12100	335406	organism
bac12101	158823	organism
bac12123	400390	organism
bac12131	726	organism
bac1218	155892	organism
bac12182	551760	organism
bac12186	191863	organism
bac12198	105560	organism
bac122	714	organism
bac12201	338192	organism
bac12211	2280	organism
bac1222	75	organism
bac12228	259354	organism
bac1223	74313	organism
bac12240	217159	organism
bac12251	1911	synonym
bac12263	2021	organism
bac1227	158484	organism
bac12273	28108	organism
bac12274	64178	organism
bac12276	70799	organism
bac12277	54311	organism
bac12292	645578	organism
bac12293	876270	organism
bac12297	66431	organism
bac123	715	organism
bac12317	43661	organism
bac12319	58351	organism
bac1232	43670	organism
bac12326	43771	organism
bac1233	1708	organism
bac12339	95485	organism
bac1234	1711	organism
bac12347	168695	organism
bac1235	1707	organism
bac1236	1714	organism
bac12375	67575	organism
bac12377	184924	organism
bac1238	11	organism
bac12384	69539	organism
bac12385	89067	organism
bac124	713	organism
bac12409	28175	organism
bac12410	29494	organism
bac12431	34003	organism
bac12439	2724944	organism
bac12444	254759	organism
bac12452	47885	organism
bac12458	29489	organism
bac12462	1615	organism
bac12473	80869	organism
bac12476	252970	organism
bac12477	60548	organism
bac12478	169427	organism
bac12480	152480	organism
bac12481	92647	organism
bac12482	134536	organism
bac12484	312306	organism
bac12485	192	organism
bac12486	219649	organism
bac12487	31998	organism
bac12488	321895	organism
bac12489	148447	organism
bac12490	157910	organism
bac12491	75105	organism
bac12498	340145	organism
bac12543	271098	organism
bac12544	359303	organism
bac12545	70864	organism
bac12546	404011	organism
bac12547	271097	organism
bac12548	60961	organism
bac12549	192073	organism
bac12550	60478	organism
bac12551	62322	organism
bac12557	2198	organism
bac12558	2197	organism
bac12582	67353	organism
bac126	46158	organism
bac12605	44155	organism
bac12609	41275	organism
bac12611	121290	organism
bac12612	83618	organism
bac12618	663610	organism
bac12624	1795	organism
bac12638	165696	organism
bac12639	32012	organism
bac12640	1125847	organism
bac12643	199136	organism
bac12644	35701	organism
bac12645	28064	organism
bac12646	35700	organism
bac12649	121291	organism
bac12661	2375	organism
bac12664	132608	organism
bac12665	324833	organism
bac12669	225362	organism
bac12671	566	organism
bac12673	331971	organism
bac12676	150247	organism
bac12685	310769	organism
bac127	46160	organism
bac12709	144786	organism
bac12710	2033	organism
bac12731	29580	organism
bac12737	38300	organism
bac12743	490575	organism
bac12745	486507	organism
bac12751	307580	organism
bac12753	72803	organism
bac12756	412861	organism
bac12761	29330	organism
bac12763	367791	organism
bac128	46163	organism
bac12803	660513	organism
bac12805	78342	organism
bac12817	173480	organism
bac12824	74385	organism
bac12825	83681	organism
bac12827	28031	organism
bac1284	1883	organism
bac12846	128802	organism
bac12852	76517	organism
bac12853	244787	organism
bac12854	207949	organism
bac12855	291112	organism
bac12857	83171	organism
bac12858	67760	organism
bac12859	73913	organism
bac12860	172049	organism
bac12861	55802	organism
bac12864	60920	organism
bac12865	191495	organism
