Abditibacterium utsteinense
Abiotrophia defectiva
Absicoccus porci
Abyssalbus ytuae
Abyssibacter profundi
Abyssibius alkaniclasticus
Abyssicoccus albus
Abyssisolibacter fermentans
Acanthopleuribacter pedis
Acaricomes phytoseiuli
Acerihabitans arboris
Acetanaerobacterium elongatum
Acetanaerobacterium sp.
Acetatifactor aquisgranensis
Acetatifactor muris
Acetilactobacillus jinshanensis
Acetitomaculum ruminis
Acetivibrio aldrichii
Acetivibrio cellulolyticus
Acetivibrio clariflavus
Acetivibrio ethanolgignens
Acetivibrio mesophilus
Acetivibrio saccincola
Acetivibrio straminisolvens
Acetivibrio thermocellus
Acetoanaerobium noterae
Acetoanaerobium pronyense
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter cerevisiae
Acetobacter cibinongensis
Acetobacter conturbans
Acetobacter estunensis
Acetobacter fabarum
Acetobacter fallax
Acetobacter farinalis
Acetobacter garciniae
Acetobacter ghanensis
Acetobacter indonesiensis
Acetobacter lambici
Acetobacter lovaniensis
Acetobacter malorum
Acetobacter musti
Acetobacter nitrogenifigens
Acetobacter oeni
Acetobacter okinawensis
Acetobacter orientalis
Acetobacter orleanensis
Acetobacter oryzifermentans
Acetobacter oryzoeni
Acetobacter papayae
Acetobacter pasteurianus
Acetobacter persici
Acetobacter pomorum
Acetobacter sacchari
Acetobacter senegalensis
Acetobacter sicerae
Acetobacter sp.
Acetobacter suratthaniensis
Acetobacter syzygii
Acetobacter thailandicus
Acetobacter tropicalis
Acetobacter vaccinii
Acetobacter xylinum subsp. nonacetoxidans
Acetobacterium bakii
Acetobacterium carbinolicum
Acetobacterium carbinolicum subsp. kysingense
Acetobacterium dehalogenans
Acetobacterium fimetarium
Acetobacterium malicum
Acetobacterium paludosum
Acetobacterium sp.
Acetobacterium tundrae
Acetobacterium wieringae
Acetobacterium woodii
Acetobacteroides hydrogenigenes
Acetofilamentum rigidum
Acetohalobium arabaticum
Acetomicrobium faecale
Acetomicrobium flavidum
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetomicrobium thermoterrenum
Acetonema longum
Acetonema sp.
Acetothermus paucivorans
Acholeplasma axanthum
Acholeplasma brassicae
Acholeplasma equifetale
Acholeplasma equirhinis
Acholeplasma granularum
Acholeplasma hippikon
Acholeplasma laidlawii
Acholeplasma modicum
Acholeplasma morum
Acholeplasma multilocale
Acholeplasma oculi
Acholeplasma parvum
Acholeplasma vituli
Achromobacter aegrifaciens
Achromobacter agilis
Achromobacter aloeverae
Achromobacter animicus
Achromobacter anxifer
Achromobacter deleyi
Achromobacter denitrificans
Achromobacter dolens
Achromobacter insolitus
Achromobacter insuavis
Achromobacter insulatus
Achromobacter kerstersii
Achromobacter marplatensis
Achromobacter mucicolens
Achromobacter pestifer
Achromobacter piechaudii
Achromobacter pulmonis
Achromobacter ruhlandii
Achromobacter sp.
Achromobacter spanius
Achromobacter veterisilvae
Achromobacter xylosoxidans
