namespace	strain_number
entity_id	external_id	source
str10000	ATCC 17100	culture_number
str10000	BCRC 16411	culture_number
str10000	CCRC 16411	culture_number
str10000	DSM 162	culture_number
str10000	LMG 4299	culture_number
str10000	NCIB 10020	culture_number
str10000	NCIMB 10020	culture_number
str10001	DSM 16493	culture_number
str10001	NCIMB 14021	culture_number
str10004	ATCC 33942	culture_number
str10004	CECT 5011	culture_number
str10004	CIP 104266	culture_number
str10004	DSM 7001	culture_number
str10004	IAM 14592	culture_number
str10004	IFO 15277	culture_number
str10004	JCM 21267	culture_number
str10004	LMG 19751	culture_number
str10004	LMG 3984	culture_number
str10004	LMG 5512	culture_number
str10004	NBRC 15277	culture_number
str10004	NCIB 2176	culture_number
str10004	NCIMB 2176	culture_number
str10009	DSM 16067	culture_number
str10009	JCM 12319	culture_number
str10009	KCTC 12180	culture_number
str10013	ATCC 15264	culture_number
str10013	CCUG 45023	culture_number
str10013	CCUG 48879	culture_number
str10013	CGMCC 1.3389	culture_number
str10013	CIP 106453	culture_number
str10013	DSM 4735	culture_number
str10013	IFO 16000	culture_number
str10013	KCTC 12442	culture_number
str10013	KCTC 12467	culture_number
str10013	KCTC 2887	culture_number
str10013	LMG 14903	culture_number
str10013	VKM B-1503	culture_number
str10013	VTT E-052920	culture_number
str10014	NBRC 100245	culture_number
str10015	DSM 104468	culture_number
str10017	CECT 7588	culture_number
str10017	DSM 17192	culture_number
str10017	NBRC 104960	culture_number
str10018	DSM 22771	culture_number
str10025	DSM 17068	culture_number
str10026	DSM 17067	culture_number
str10028	DSM 14768	culture_number
str10028	JCM 11474	culture_number
str10031	ATCC BAA-1116	culture_number
str10032	ATCC 31884	culture_number
str10033	ATCC BAA-74	culture_number
str10036	ATCC 16539	culture_number
str10036	ATCC 30007	culture_number
str10039	NBRC 102948	culture_number
str10040	ATCC 28211	culture_number
str10040	ATCC 34304	culture_number
str10044	ATCC 32784	culture_number
str10045	DSM 45850	culture_number
str10050	ATCC 43280	culture_number
str10050	BCRC 17263	culture_number
str10050	CCM 4200	culture_number
str10050	CCRC 17263	culture_number
str10050	DSM 4687	culture_number
str10050	JCM 11600	culture_number
str10050	KCTC 2672	culture_number
str10050	NCIMB 12588	culture_number
str10056	DSM 3803	culture_number
str10057	FGSC 388	culture_number
str10058	ATCC 50803	culture_number
str10062	CGMCC 1.12102	culture_number
str10062	CIP 110705	culture_number
str10062	DSM 100203	culture_number
str10062	LMG 26783	culture_number
str10064	ATCC 14579	culture_number
str10064	BCRC 10603	culture_number
str10064	BCRC 11026	culture_number
str10064	CCM 2010	culture_number
str10064	CCRC 10603	culture_number
str10064	CCRC 11026	culture_number
