optimizer,lr,lr_scheduler,dropout,hidden_layers,hidden_size,normalization,batch_size,num_epochs,patience,val_loss,val_loss_std,strain_f1,strain_f1_std
adamW,0.01,exponential,0.1,1,256,batch,16,100,5,0.0661289939035972,0.009296335352885099,0.6033907451439009,0.031711398934796506
adamW,0.002,exponential,0.2,2,32,layer,16,100,5,0.06480076489970088,0.005534515465791549,0.5864993080690288,0.035155682093894955
nadam,0.0003,reduce_on_plateau,0.2,2,256,layer,8,100,5,0.06390043209306896,0.009234077822760544,0.6123413803335692,0.01587630398222246
adam,0.0003,exponential,0.2,2,512,layer,8,100,5,0.06375808953706708,0.004136455099502924,0.6150956363377416,0.029554506098044005
nadam,0.001,reduce_on_plateau,0.2,1,2048,batch,16,100,5,0.0652386709012919,0.00919124040210236,0.5988262372530812,0.025896830537342475
adamW,0.0003,exponential,0.2,1,1024,batch,32,100,5,0.0688320864819818,0.009218757979621383,0.5754671440126291,0.024404408196641084
adamW,0.01,exponential,0,1,2048,batch,32,100,5,0.07072159519626034,0.017829990891993344,0.5744106633476895,0.030380127770996586
adamW,0.002,exponential,0,2,128,batch,8,100,5,0.06549128591482128,0.012196407505641067,0.5877782123338738,0.058141837113787335
adam,0.001,exponential,0,2,64,batch,32,100,5,0.06443029265436861,0.006392957179013354,0.565354995101303,0.011613450036977495
adamW,0.002,reduce_on_plateau,0,2,128,layer,8,100,5,0.0578084371611476,0.003826524989250518,0.6083644647420778,0.028719704781752696
adam,0.0003,reduce_on_plateau,0.2,3,1024,layer,32,100,5,0.06476273379392095,0.010194164186978898,0.5963922097150656,0.007867866141463096
adam,0.01,exponential,0.2,3,512,batch,8,100,5,0.06809652266757829,0.00759895908110914,0.49977364549217357,0.07681476955316277
nadam,0.01,reduce_on_plateau,0.1,3,64,batch,32,100,5,0.06452196993761591,0.011331148471224635,0.5879637293061605,0.01324367289315648
nadam,0.01,exponential,0.2,2,1024,batch,32,100,5,0.06587858568463059,0.005717409760874426,0.6208398749285646,0.016997622887801777
nadam,0.01,exponential,0.1,3,2048,layer,32,100,5,0.06563198500209386,0.013970038566560587,0.5795827766038414,0.030460212227629863
adamW,0.01,exponential,0,1,32,batch,16,100,5,0.06395376282226709,0.004130234117802177,0.5782852178022512,0.0233257989166903
