enzyme,organism,reference,pubmed_id
1.1.1.1,Saccharolobus solfataricus,285611,8433371
1.1.1.1,Saccharolobus solfataricus,285621,3115775
1.1.1.1,Zymomonas mobilis,285622,7030207
1.1.1.1,Zymomonas mobilis,285623,-
1.1.1.1,Saccharolobus solfataricus,285625,1463738
1.1.1.1,Megalodesulfovibrio gigas,285654,8491707
1.1.1.1,Thermoanaerobacter brockii,437848,7430065
1.1.1.1,Pseudomonas fluorescens,654294,12172614
1.1.1.1,Saccharolobus solfataricus,654684,14661950
1.1.1.1,Geobacillus stearothermophilus,654751,15122892
1.1.1.1,Acetobacter pasteurianus,655058,12834271
1.1.1.1,Rhodococcus ruber,655082,15007841
1.1.1.1,Thermomicrobium roseum,655262,12031468
1.1.1.1,Thermoanaerobacter brockii,655735,11809419
1.1.1.1,Geobacillus stearothermophilus,656475,-
1.1.1.1,Aeropyrum pernix,656525,12927540
1.1.1.1,Pseudomonas aeruginosa,657302,15152088
1.1.1.1,Rhodococcus erythropolis,658321,18629898
1.1.1.1,Acinetobacter calcoaceticus,659674,2231596
1.1.1.1,Escherichia coli,660650,9161610
1.1.1.1,Hafnia alvei,660650,9161610
1.1.1.1,Klebsiella oxytoca,660650,9161610
1.1.1.1,Klebsiella pneumoniae,660650,9161610
1.1.1.1,Pseudomonas aeruginosa,660650,9161610
1.1.1.1,Leifsonia sp.,667255,16000771
1.1.1.1,Pyrococcus furiosus,667266,16391048
1.1.1.1,Zymomonas mobilis,667340,16027951
1.1.1.1,Flavobacterium frigidimaris,668532,17072683
1.1.1.1,Methylorubrum extorquens,669027,16390205
1.1.1.1,Brevibacterium sp.,669540,16243283
1.1.1.1,Saccharolobus solfataricus,677301,15299411
1.1.1.1,Saccharolobus solfataricus,678116,8555238
1.1.1.1,Saccharolobus solfataricus,678121,10074357
1.1.1.1,Saccharolobus solfataricus,678363,2121281
1.1.1.1,Pseudomonas putida,678779,16926497
1.1.1.1,Saccharolobus solfataricus,679816,12650918
1.1.1.1,Saccharolobus solfataricus,679883,9919650
1.1.1.1,Saccharolobus solfataricus,680428,8550434
1.1.1.1,Saccharolobus solfataricus,680442,12813087
1.1.1.1,Saccharolobus solfataricus,681372,12051852
1.1.1.1,Saccharolobus solfataricus,681763,11265460
1.1.1.1,Saccharolobus solfataricus,682627,11932492
1.1.1.1,Saccharolobus solfataricus,682630,7770449
1.1.1.1,Thermus sp.,684246,-
1.1.1.1,Thermus thermophilus,684583,18456852
1.1.1.1,Geobacillus stearothermophilus,685180,17223705
1.1.1.1,Natronomonas pharaonis,686626,18189118
1.1.1.1,Devosia riboflavina,688442,-
1.1.1.1,Thermoanaerobacter ethanolicus,695536,17981479
1.1.1.1,Thermoanaerobacter brockii,697669,-
1.1.1.1,Saccharolobus solfataricus,697839,19588068
1.1.1.1,Parageobacillus thermoglucosidasius,699071,18436321
1.1.1.1,Thermoplasma acidophilum,700124,19058034
1.1.1.1,Saccharolobus solfataricus,718470,11541089
1.1.1.1,Sulfurisphaera tokodaii,718627,19139244
1.1.1.1,Sulfolobus acidocaldarius,718681,22805786
1.1.1.1,Sulfolobus acidocaldarius,719428,20049620
1.1.1.1,Saccharolobus solfataricus,720330,15253444
1.1.1.1,Oenococcus oeni,721395,23385476
1.1.1.1,Carboxydothermus hydrogenoformans,721911,23160740
1.1.1.1,Pyrococcus furiosus,722203,16463078
1.1.1.1,Rhodococcus ruber,722888,22584819
1.1.1.1,Geobacillus stearothermophilus,723979,23686507
1.1.1.1,Saccharolobus solfataricus,725194,20377222
1.1.1.1,Aeropyrum pernix,726572,12499562
1.1.1.1,Haloferax volcanii,726769,22526808
1.1.1.1,Aeropyrum pernix,727064,15752697
1.1.1.1,Haloferax volcanii,728289,24062264
