doi,taxon,designations,count
10.60712/SI-ID341518.1,Escherichia coli,"K-12, MG 1655",309
10.60712/SI-ID15077.2,Mycobacterium tuberculosis,"CNCTC My 331/88, G.Kubica TMC 102, H37Rv, KPM T021, MG 1, TMC 102, Trudeau Inst. H37Rv",129
10.60712/SI-ID409143.1,Pseudomonas aeruginosa,PAO1,52
10.60712/SI-ID398354.2,Bacillus subtilis,168,46
10.60712/SI-ID15077.2,Mycobacterium tuberculosis,"CNCTC My 331/88, G.Kubica TMC 102, H37Rv, KPM T021, MG 1, TMC 102, Trudeau Inst. H37Rv",39
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",25
10.60712/SI-ID43762.1,Mycobacterium smegmatis,mc155,24
10.60712/SI-ID300708.1,Saccharomyces cerevisiae,BY4741,22
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",22
10.60712/SI-ID207806.1,Schizosaccharomyces pombe,"972, FYC1, Sp298",21
10.60712/SI-ID41626.2,Methanocaldococcus jannaschii,"JAL-1, OCM 168",19
10.60712/SI-ID45148.2,Pyrococcus furiosus,"Vc 1, Vc1",19
10.60712/SI-ID207868.1,Saccharomyces cerevisiae,K12,19
10.60712/SI-ID45791.2,Synechocystis,"IAM M-203, IAM M-208, IPPAS 288, IPPAS B-288, M-208, N-1, NIBB 1125, PPMSU 63",17
10.60712/SI-ID396712.1,Escherichia coli,"BW25113, CGSC 7636",15
10.60712/SI-ID13629.2,Corynebacterium glutamicum,"534, AJ 1502, CCTM 2336, CCTM La 2336, DSMZ 20300, HNCMB 132501, IAW 26, IMSNU 10063, IMSNU 21196, KY 534, KY 9002, Kyowa Ferm Ind534, Kyowa Ferm. Ind. Co. 534, LMG 19741T QC 12/00, LMG 19741T QC oorspr, La 2336, NERE 10026, ptcc1162",14
10.60712/SI-ID13629.2,Corynebacterium glutamicum,"534, AJ 1502, CCTM 2336, CCTM La 2336, DSMZ 20300, HNCMB 132501, IAW 26, IMSNU 10063, IMSNU 21196, KY 534, KY 9002, Kyowa Ferm Ind534, Kyowa Ferm. Ind. Co. 534, LMG 19741T QC 12/00, LMG 19741T QC oorspr, La 2336, NERE 10026, ptcc1162",14
10.60712/SI-ID40868.2,Saccharolobus solfataricus,,14
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",14
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",14
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",14
,,1C,14
10.60712/SI-ID13749.1,Pseudomonas aeruginosa,"HER 1146, Holloway 1C, Holloway1, Kemira Oy, PA0 1, PA01, PAO 1, PAO1, PC 4163, PRS 101, R-23901, Stanier 131",14
10.60712/SI-ID48350.1,Schizosaccharomyces pombe,"972 h, 972H, L972, Sz-0205, wild-type L972",13
10.60712/SI-ID253494.1,Preussia fleischhakii,C57,12
,,Wistar,12
10.60712/SI-ID203512.1,Candida albicans,SC5314,12
